inputname;organisasjonsnummer;korreksjon
VESTVIKEN BETONG OG TRE;;
VIBEMYR BLIKK;;
VIKING ENTREPRENØR;;
VINDVEGGEN ARKITEKTER AS;971231270;
VINTERVOLL AS;929314832;
VITO TEKNISK ENTREPRENØR AS;884260922;
VOLL ARKITEKTER A/S;;
VOSS GONDOL AS;916124945;
WALDELAND & VARHAUG A/S;;
WALDELAND OG VARHAUG;;
WELAND AS;923232206;
WINDSOR;;
WITO AS;884587832;
WORKSHOP;;
WORKSHOP BEMANNING OG KOMPETANSE AS;;
WSP;;
XERVON;;
YC RØR AS;990447780;
